pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal
35,Ontario,Ontario,31-01-2020,3,0,0,3,,N/A,,,3,300.00,0.021
59,British Columbia,Colombie-Britannique,31-01-2020,1,0,0,1,,N/A,,,1,100.00,0.020
1,Canada,Canada,31-01-2020,4,0,0,4,,N/A,,,4,400.00,0.011
35,Ontario,Ontario,08-02-2020,3,0,0,3,,N/A,,,0,0.00,0.021
59,British Columbia,Colombie-Britannique,08-02-2020,4,0,0,4,,N/A,,,3,300.00,0.079
1,Canada,Canada,08-02-2020,7,0,0,7,,N/A,,,3,75.00,0.019
35,Ontario,Ontario,16-02-2020,3,0,0,3,,N/A,,,0,0.00,0.021
59,British Columbia,Colombie-Britannique,16-02-2020,5,0,0,5,,N/A,,,1,25.00,0.099
1,Canada,Canada,16-02-2020,8,0,0,8,,N/A,,,1,14.29,0.021
35,Ontario,Ontario,21-02-2020,3,0,0,3,,N/A,,,0,0.00,0.021
59,British Columbia,Colombie-Britannique,21-02-2020,6,0,0,6,,N/A,,,1,20.00,0.118
1,Canada,Canada,21-02-2020,9,0,0,9,,N/A,,,1,12.50,0.024
35,Ontario,Ontario,24-02-2020,4,0,0,4,,N/A,,,1,33.33,0.027
59,British Columbia,Colombie-Britannique,24-02-2020,6,0,0,6,,N/A,,,0,0.00,0.118
1,Canada,Canada,24-02-2020,10,0,0,10,,N/A,,,1,11.11,0.027
35,Ontario,Ontario,25-02-2020,4,0,0,4,,N/A,,,0,0.00,0.027
59,British Columbia,Colombie-Britannique,25-02-2020,7,0,0,7,,N/A,,,1,16.67,0.138
1,Canada,Canada,25-02-2020,11,0,0,11,,N/A,,,1,10.00,0.029
35,Ontario,Ontario,26-02-2020,5,0,0,5,,N/A,,,1,25.00,0.034
59,British Columbia,Colombie-Britannique,26-02-2020,7,0,0,7,,N/A,,,0,0.00,0.138
1,Canada,Canada,26-02-2020,12,0,0,12,,N/A,,,1,9.09,0.032
35,Ontario,Ontario,27-02-2020,6,0,0,6,,N/A,,,1,20.00,0.041
59,British Columbia,Colombie-Britannique,27-02-2020,7,0,0,7,,N/A,,,0,0.00,0.138
1,Canada,Canada,27-02-2020,13,0,0,13,,N/A,,,1,8.33,0.035
35,Ontario,Ontario,29-02-2020,8,0,0,8,,N/A,,,2,33.33,0.055
59,British Columbia,Colombie-Britannique,29-02-2020,7,0,0,7,,N/A,,,0,0.00,0.138
1,Canada,Canada,29-02-2020,15,0,0,15,,N/A,,,2,15.38,0.040
35,Ontario,Ontario,01-03-2020,15,0,0,15,,N/A,,,7,87.50,0.103
59,British Columbia,Colombie-Britannique,01-03-2020,8,0,0,8,,N/A,,,1,14.29,0.158
24,Quebec,Québec,01-03-2020,1,0,0,1,,N/A,,,1,100.00,0.012
1,Canada,Canada,01-03-2020,24,0,0,24,,N/A,,,9,60.00,0.064
